1,2,2022-04-17,1
2,6,2022-04-17,2
3,10,2022-04-17,3
4,3,2022-04-17,4
5,3,2022-04-18,5
6,10,2022-04-18,6
7,1,2022-04-18,7
8,7,2022-04-19,8
9,8,2022-04-19,9
10,1,2022-04-19,10
11,30,2022-04-19,1
12,22,2022-04-19,1
13,24,2022-04-19,1
14,5,2022-04-20,2
15,27,2022-04-21,3
16,15,2022-04-21,4
17,14,2022-04-21,5
18,13,2022-04-21,6
19,19,2022-04-21,7
20,29,2022-04-22,2
21,22,2022-04-22,3
22,21,2022-04-22,4
23,24,2022-04-22,5
24,10,2022-04-23,5
25,4,2022-04-23,6
26,12,2022-04-23,7
27,19,2022-04-23,8
28,4,2022-04-24,9
29,2,2022-04-24,10
30,8,2022-04-24,2
31,22,2022-04-24,1
32,21,2022-04-24,1
33,24,2022-04-25,2
34,10,2022-04-25,3
35,4,2022-04-25,4
36,12,2022-04-25,5
37,19,2022-04-25,6
38,4,2022-04-25,7
39,2,2022-04-25,8
40,8,2022-04-26,9
41,22,2022-04-26,10
42,21,2022-04-26,10
43,24,2022-04-26,1
44,10,2022-04-26,3
45,4,2022-04-27,5
46,12,2022-04-27,6
47,19,2022-04-27,9
48,4,2022-04-27,2
49,2,2022-04-27,4
50,8,2022-04-28,3
